lat	long	depth	mag	stations
-15.85	185.9	121	4.1	17
-17.38	168.63	209	4.7	29
-24.33	179.97	510	4.8	44
-20.89	185.26	54	5.1	44
-18.97	169.44	242	5	41
-17.99	181.62	574	4.8	38
-15.8	185.25	82	4.4	39
-25.42	182.65	102	5	36
-21.6	169.9	43	5.2	56
-26.06	180.05	432	4.2	19
-17.56	181.23	580	4.1	16
-25.63	180.26	464	4.8	60
-25.46	179.98	479	4.5	27
-22.23	180.48	581	5	54
-21.55	181.39	513	5.1	81
-15.18	185.93	77	4.1	16
-13.79	166.56	68	4.7	41
-15.18	167.23	71	5.2	59
-18.78	186.72	68	4.8	48
-17.9	181.41	586	4.5	33
-18.5	185.4	243	4	11
-14.82	171.17	658	4.7	49
-15.65	185.17	315	4.1	15
-30.01	181.15	210	4.3	17
-13.16	167.24	278	4.3	17
-21.03	180.78	638	4	14
-21.4	180.78	615	4.7	51
-17.93	181.89	567	4.1	27
-20.87	181.7	560	4.2	13
-12.01	166.66	99	4.8	36
-19.1	169.63	266	4.8	31
-22.85	181.37	397	4.2	15
-17.08	185.96	180	4.2	29
-21.14	174.21	40	5.7	78
-12.23	167.02	242	6	132
-20.91	181.57	530	4.2	20
-11.38	167.05	133	4.5	32
-11.02	167.01	62	4.9	36
-22.09	180.58	580	4.4	22
-17.8	181.2	530	4	15
-18.94	182.43	566	4.3	20
-18.85	182.2	501	4.2	23
-21.91	181.28	548	4.5	30
-22.03	179.77	587	4.8	31
-18.1	181.63	592	4.4	28
-18.4	184.84	221	4.2	18
-21.2	181.4	560	4.2	12
-12	166.2	94	5	31
-11.7	166.3	139	4.2	15
-26.72	182.69	162	5.2	64
-24.39	178.98	562	4.5	30
-19.64	169.5	204	4.6	35
-21.35	170.04	56	5	22
-22.82	184.52	49	5	52
-38.28	177.1	100	5.4	71
-12.57	167.11	231	4.8	28
-22.24	180.28	601	4.2	21
-13.8	166.53	42	5.5	70
-21.07	183.78	180	4.3	25
-17.74	181.25	559	4.1	16
-23.87	180.15	524	4.4	22
-21.29	185.8	69	4.9	74
-22.2	180.58	594	4.5	45
-15.24	185.11	262	4.9	56
-17.82	181.27	538	4	33
-32.14	180	331	4.5	27
-19.3	185.86	48	5	40
-33.09	180.94	47	4.9	47
-20.18	181.62	558	4.5	31
-17.46	181.42	524	4.2	16
-17.44	181.33	545	4.2	37
-24.71	179.85	477	4.2	34
-21.53	170.52	129	5.2	30
-19.17	169.53	268	4.3	21
-28.05	182.39	117	5.1	43
-23.39	179.97	541	4.6	50
-22.33	171.51	112	4.6	14
-15.28	185.98	162	4.4	36
-20.27	181.51	609	4.4	32
-10.96	165.97	76	4.9	64
-21.52	169.75	61	5.1	40
-19.57	184.47	202	4.2	28
-23.08	183.45	90	4.7	30
-25.06	182.8	133	4	14
-17.85	181.44	589	5.6	115
-15.99	167.95	190	5.3	81
-20.56	184.41	138	5	82
-17.98	181.61	598	4.3	27
-18.4	181.77	600	4.1	11
-27.64	182.22	162	5.1	67
-20.99	181.02	626	4.5	36
-14.86	167.32	137	4.9	22
-29.33	182.72	57	5.4	61
-25.81	182.54	201	4.7	40
-14.1	166.01	69	4.8	29
-17.63	185.13	219	4.5	28
-23.47	180.21	553	4.2	23
-23.92	180.21	524	4.6	50
-20.88	185.18	51	4.6	28
-20.25	184.75	107	5.6	121
-19.33	186.16	44	5.4	110
-18.14	181.71	574	4	20
-22.41	183.99	128	5.2	72
-20.77	181.16	568	4.2	12
-17.95	181.73	583	4.7	57
-20.83	181.01	622	4.3	15
-27.84	182.1	193	4.8	27
-19.94	182.39	544	4.6	30
-23.6	183.99	118	5.4	88
-23.7	184.13	51	4.8	27
-30.39	182.4	63	4.6	22
-18.98	182.32	442	4.2	22
-27.89	182.92	87	5.5	67
-23.5	184.9	61	4.7	16
-23.73	184.49	60	4.7	35
-17.93	181.62	561	4.5	32
-35.94	178.52	138	5.5	78
-18.68	184.5	174	4.5	34
-23.47	179.95	543	4.1	21
-23.49	180.06	530	4	23
-23.85	180.26	497	4.3	32
-27.08	183.44	63	4.7	27
-20.88	184.95	82	4.9	50
-20.97	181.2	605	4.5	31
-21.71	183.58	234	4.7	55
-23.9	184.6	41	4.5	22
-15.78	167.44	40	4.8	42
-12.57	166.72	137	4.3	20
-19.69	184.23	223	4.1	23
-22.04	183.95	109	5.4	61
-17.99	181.59	595	4.1	26
-23.5	180.13	512	4.8	40
-21.4	180.74	613	4.2	20
-15.86	166.98	60	4.8	25
-23.95	184.64	43	5.4	45
-25.79	182.38	172	4.4	14
-23.75	184.5	54	5.2	74
-24.1	184.5	68	4.7	23
-18.56	169.05	217	4.9	35
-23.3	184.68	102	4.9	27
-17.03	185.74	178	4.2	32
-20.77	183.71	251	4.4	47
-28.1	183.5	42	4.4	17
-18.83	182.26	575	4.3	11
-23	170.7	43	4.9	20
-20.82	181.67	577	5	67
-22.95	170.56	42	4.7	21
-28.22	183.6	75	4.9	49
-27.99	183.5	71	4.3	22
-15.54	187.15	60	4.5	17
-12.37	166.93	291	4.2	16
-22.33	171.66	125	5.2	51
-22.7	170.3	69	4.8	27
-17.86	181.3	614	4	12
-16	184.53	108	4.7	33
-20.73	181.42	575	4.3	18
-15.45	181.42	409	4.3	27
-20.05	183.86	243	4.9	65
-17.95	181.37	642	4	17
-17.7	188.1	45	4.2	10
-25.93	179.54	470	4.4	22
-12.28	167.06	248	4.7	35
-20.13	184.2	244	4.5	34
-17.4	187.8	40	4.5	14
-21.59	170.56	165	6	119
